fecha;LTM CI Equity;SQM/B CI Equity;COPEC CI Equity;SALFACORP CI Equity;VAPORES CI Equity;CAP CI Equity;BSAN CI Equity;CMPC CI Equity;FALAB CI Equity
07-02-2019;7745;27938;9210,5;1052,4;20,6;7485;52,7;2460;5179
08-02-2019;7699;27490;9128;1035;20,42;7571;52,26;2383,1;5118
11-02-2019;7602;27250;9220;1033;20,61;7425;52,32;2350;5160
12-02-2019;7694;26549;9099,6;1007,3;20,84;7255,1;52,97;2357,9;5248
13-02-2019;7688,5;26900;9010;1025,7;21,5;7326,8;53;2355,3;5264
14-02-2019;7652;27600;9020,2;1017,6;21,28;7350;52,39;2350;5263,9
15-02-2019;7698;27600;9220;1012,1;21,21;7131,2;52,01;2340;5250
18-02-2019;7600;27300;9084,9;1008,4;22;7180,1;52,02;2327,3;5255
19-02-2019;7637;27097;9057;993,93;22;7250,2;51,97;2377;5258,8
20-02-2019;7640;27670;8935;990;22,25;7250;51,97;2420;5239,9
21-02-2019;7700;28335;9054;994,24;21,7;7205;52,48;2423,9;5318
22-02-2019;7750;28850;9169,8;999;21,6;7240;52,85;2459,5;5328,9
25-02-2019;7869;29120;9150;1022,5;21,58;7290;52,15;2451;5319
26-02-2019;7839;28800;9181;1014,4;21,43;7265;53;2488;5280
27-02-2019;7720;28799;9008,9;1009,8;21,5;7275,9;52,69;2430;5155
28-02-2019;7620;27250;8900;1009,4;21,4;7229,9;52,3;2460;5100
01-03-2019;7550;26080;8912,1;1011,8;21,49;7222,2;52;2400;5115
04-03-2019;7470;25597;8820;1004,9;21,26;7099,9;52,03;2364;5080
05-03-2019;7350;25800;8790;995,06;21,71;7270;51,87;2380,2;5102
06-03-2019;7369;25720;9000;998,32;21,69;7565;52;2380;5124
07-03-2019;7391;25380;8950;1006,2;21,38;7660;51,89;2365;5150
08-03-2019;7489,8;25330;9005;998,98;21,24;7427,2;51,39;2385;5120
11-03-2019;7670;25575;8965;1000,1;21,82;7511,1;51,55;2400;5150
