fecha;LTM CI Equity;SQM/B CI Equity;COPEC CI Equity;SALFACORP CI Equity;VAPORES CI Equity;CAP CI Equity;BSAN CI Equity;CMPC CI Equity;FALAB CI Equity
24-04-2020;2965,1;18200;5024;335;19,16;3810;30,99;1705;2075
27-04-2020;3040;18860;5120,8;349,71;19,75;3951;32,77;1780;2165,1
28-04-2020;3145;19700;5100,1;363;20,19;3995;33,5;1780;2220
29-04-2020;3275;19600;5350,1;372,94;19,95;4100;35,41;1813,9;2337
30-04-2020;3155;19850;5218;361,1;20;4075;35,85;1799,9;2280
01-05-2020;3155;19850;5218;361,1;20;4075;35,85;1799,9;2280
04-05-2020;2860;18520;5000;332;19,24;3994;34,52;1740;2265
05-05-2020;2892;18612;5120;347,05;19,42;4000;35,56;1770;2385
06-05-2020;2749,8;18540;5310;361,35;19,5;3975;36,23;1800,9;2465
07-05-2020;2599;18920;5450;373,19;20,6;4079;35,98;1860;2537
08-05-2020;2520,3;18520;5100;367;20,85;4050;33,63;1715;2405
11-05-2020;2346;19090;5100;350,13;20,8;4021,5;32,94;1719,7;2400
12-05-2020;2265;18500;5050;339,3;21,01;4030;33,1;1685;2379
13-05-2020;2150;17997;4870;318,99;20,75;3838,5;30,8;1696,2;2235
14-05-2020;2300,1;18300;4902;315,1;20,64;3900;31,89;1720;2200
15-05-2020;2249;18249;4770;309,01;20,65;4000;31,4;1676;2124,6
18-05-2020;2340;19126;4978;320,46;20,8;4185;32,71;1770;2200,2
19-05-2020;2137,9;19300;5050;319,73;20,68;4490;31,88;1767;2116
20-05-2020;2082;18950;5060;355;20,78;4719;32,08;1779,9;2185
21-05-2020;2082;18950;5060;355;20,78;4719;32,08;1779,9;2185
22-05-2020;2105;18640;4930;356,5;20,62;4900;32,01;1718;2156,3
25-05-2020;1999,9;19050;4902;360,98;20,73;5200;32,96;1746;2160
26-05-2020;1280;19715;4919;380,08;20,11;5000;33,28;1735;2050
27-05-2020;711;20599;4980;368,22;19,7;4900;34,3;1730;2018,7
28-05-2020;800;20300;4900;355,1;19,2;5175;32,35;1679,1;1881
29-05-2020;860;19649;5050;355;18,7;5205;32,6;1630;1865
01-06-2020;930;19828;5140;361,46;18,91;5350;32,3;1640;1898,5
02-06-2020;1280;20440;5340;355,4;19,06;5535;32,99;1663;1985
03-06-2020;1570;20850;5370;375;19,5;5450;33,48;1695;2050
04-06-2020;1450;20890;5400;386,34;19,97;5350;34,33;1690;2108,1
05-06-2020;1560;21799;5631,1;415;20;5369;36,33;1748,9;2308,6
